transaction_id,customer_id,category_id,transaction_date,amount,currency,merchant,channel,amount_gbp,year,month,month_name,quarter,day_of_week
TXN0004886,CUST00393,CAT05,2025-03-15,710.44,GBP,easyJet,Card Payment,710.44,2025,3,March,1,Saturday
TXN0011213,CUST00480,CAT09,2026-03-30,100.86,USD,Specsavers,ATM,115.31,2026,3,March,1,Monday
TXN0004194,CUST00168,CAT03,2025-10-08,59.77,GBP,Nando's,Mobile App,59.77,2025,10,October,4,Wednesday
TXN0008415,CUST00214,CAT04,2025-12-21,12.34,GBP,Cineworld,Mobile App,12.34,2025,12,December,4,Sunday
TXN0009246,CUST00442,CAT02,2025-06-18,231.27,GBP,British Gas,Online Banking,231.27,2025,6,June,2,Wednesday
TXN0007888,CUST00456,CAT01,2026-06-24,50.32,GBP,Aldi,Mobile App,50.32,2026,6,June,2,Wednesday
TXN0009609,CUST00383,CAT01,2025-09-19,28.62,GBP,ASDA,Card Payment,28.62,2025,9,September,3,Friday
TXN0010676,CUST00387,CAT04,2026-02-08,47.45,GBP,Disney+,Mobile App,47.45,2026,2,February,1,Sunday
TXN0011630,CUST00171,CAT10,2025-03-08,212.09,GBP,Misc,Mobile App,212.09,2025,3,March,1,Saturday
TXN0005338,CUST00473,CAT04,2025-07-16,36.4,GBP,Cineworld,Branch,36.4,2025,7,July,3,Wednesday
TXN0007986,CUST00138,CAT03,2026-06-22,63.65,GBP,Pret A Manger,Mobile App,63.65,2026,6,June,2,Monday
TXN0000294,CUST00142,CAT03,2025-09-11,32.01,GBP,Just Eat,Mobile App,32.01,2025,9,September,3,Thursday
TXN0011862,CUST00402,CAT10,2025-09-24,12.34,GBP,Fee,Mobile App,12.34,2025,9,September,3,Wednesday
TXN0004314,CUST00099,CAT09,2025-06-15,131.89,GBP,Boots,Mobile App,131.89,2025,6,June,2,Sunday
TXN0010212,CUST00062,CAT03,2025-06-08,29.84,GBP,Deliveroo,Online Banking,29.84,2025,6,June,2,Sunday
TXN0004868,CUST00451,CAT06,2025-08-11,16.55,GBP,Shell,ATM,16.55,2025,8,August,3,Monday
TXN0000312,CUST00272,CAT10,2025-12-26,43.84,GBP,Cash Withdrawal,Online Banking,43.84,2025,12,December,4,Friday
TXN0003317,CUST00126,CAT06,2025-02-08,49.43,GBP,Shell,ATM,49.43,2025,2,February,1,Saturday
TXN0003586,CUST00111,CAT01,2026-04-05,42.75,GBP,Waitrose,Mobile App,42.75,2026,4,April,2,Sunday
TXN0009379,CUST00383,CAT06,2026-01-04,87.88,GBP,National Rail,Mobile App,87.88,2026,1,January,1,Sunday
TXN0000928,CUST00457,CAT10,2026-03-04,273.11,GBP,Bank Transfer,Card Payment,273.11,2026,3,March,1,Wednesday
TXN0006158,CUST00037,CAT03,2026-03-10,59.25,GBP,Pret A Manger,ATM,59.25,2026,3,March,1,Tuesday
TXN0005023,CUST00247,CAT09,2025-07-13,143.2,GBP,Bupa,Mobile App,143.2,2025,7,July,3,Sunday
TXN0003892,CUST00396,CAT04,2025-01-07,34.22,GBP,Disney+,Mobile App,34.22,2025,1,January,1,Tuesday
TXN0011857,CUST00084,CAT03,2025-03-16,44.9,GBP,Pret A Manger,Card Payment,44.9,2025,3,March,1,Sunday
TXN0011989,CUST00387,CAT08,2026-02-04,312.14,GBP,Amazon,Online Banking,312.14,2026,2,February,1,Wednesday
TXN0000305,CUST00048,CAT06,2025-06-19,73.16,GBP,Shell,Mobile App,73.16,2025,6,June,2,Thursday
TXN0005759,CUST00259,CAT08,2025-12-22,180.73,GBP,Argos,Card Payment,180.73,2025,12,December,4,Monday
TXN0006129,CUST00177,CAT05,2025-03-08,146.47,GBP,Trainline,Online Banking,146.47,2025,3,March,1,Saturday
TXN0000812,CUST00053,CAT04,2025-05-25,51.14,GBP,PlayStation Store,Mobile App,51.14,2025,5,May,2,Sunday
TXN0004094,CUST00241,CAT07,2026-06-21,46.8,GBP,Gym Membership,Mobile App,46.8,2026,6,June,2,Sunday
TXN0010724,CUST00456,CAT10,2026-01-10,444.47,GBP,Cash Withdrawal,Online Banking,444.47,2026,1,January,1,Saturday
TXN0003998,CUST00471,CAT04,2026-02-04,26.7,GBP,Netflix,Online Banking,26.7,2026,2,February,1,Wednesday
TXN0000248,CUST00156,CAT01,2025-12-04,116.17,GBP,Waitrose,Mobile App,116.17,2025,12,December,4,Thursday
TXN0001618,CUST00268,CAT06,2026-01-18,66.86,GBP,TfL,Card Payment,66.86,2026,1,January,1,Sunday
TXN0000201,CUST00403,CAT09,2025-11-04,98.09,GBP,Bupa,ATM,98.09,2025,11,November,4,Tuesday
TXN0004908,CUST00361,CAT09,2026-04-11,34.84,GBP,Specsavers,Mobile App,34.84,2026,4,April,2,Saturday
TXN0010408,CUST00103,CAT05,2025-08-11,484.75,GBP,Booking.com,Card Payment,484.75,2025,8,August,3,Monday
TXN0004672,CUST00111,CAT10,2025-01-30,440.24,GBP,Fee,Mobile App,440.24,2025,1,January,1,Thursday
TXN0003488,CUST00317,CAT06,2025-11-29,7.09,GBP,National Rail,Mobile App,7.09,2025,11,November,4,Saturday
TXN0011677,CUST00220,CAT06,2025-02-26,32.34,GBP,Shell,Online Banking,32.34,2025,2,February,1,Wednesday
TXN0009892,CUST00017,CAT06,2025-04-22,10.26,GBP,TfL,Mobile App,10.26,2025,4,April,2,Tuesday
TXN0009298,CUST00108,CAT09,2026-01-23,121.21,GBP,Local Pharmacy,Card Payment,121.21,2026,1,January,1,Friday
TXN0005900,CUST00139,CAT06,2026-01-19,54.24,GBP,Shell,Mobile App,54.24,2026,1,January,1,Monday
TXN0003618,CUST00262,CAT07,2026-06-01,43.03,GBP,Gym Membership,Online Banking,43.03,2026,6,June,2,Monday
TXN0003932,CUST00211,CAT03,2025-02-09,18.59,GBP,Just Eat,Card Payment,18.59,2025,2,February,1,Sunday
TXN0009319,CUST00432,CAT04,2026-06-22,40.67,GBP,PlayStation Store,Branch,40.67,2026,6,June,2,Monday
TXN0003026,CUST00195,CAT08,2025-11-05,155.83,GBP,Amazon,Mobile App,155.83,2025,11,November,4,Wednesday
TXN0004411,CUST00285,CAT03,2025-06-09,10.76,GBP,Just Eat,Mobile App,10.76,2025,6,June,2,Monday
TXN0001189,CUST00057,CAT02,2025-06-06,96.21,GBP,Thames Water,Online Banking,96.21,2025,6,June,2,Friday
TXN0008016,CUST00282,CAT08,2025-04-03,311.17,GBP,ASOS,Card Payment,311.17,2025,4,April,2,Thursday
TXN0004442,CUST00217,CAT06,2025-09-10,83.4,GBP,BP,ATM,83.4,2025,9,September,3,Wednesday
TXN0010944,CUST00422,CAT06,2026-02-12,33.36,GBP,BP,Online Banking,33.36,2026,2,February,1,Thursday
TXN0002755,CUST00028,CAT02,2025-02-18,231.85,GBP,Thames Water,Online Banking,231.85,2025,2,February,1,Tuesday
TXN0002953,CUST00059,CAT04,2025-12-24,44.29,GBP,Netflix,Mobile App,44.29,2025,12,December,4,Wednesday
TXN0007147,CUST00108,CAT02,2026-05-29,195.84,GBP,EE,Card Payment,195.84,2026,5,May,2,Friday
TXN0009076,CUST00430,CAT02,2026-03-12,192.97,GBP,Thames Water,Online Banking,192.97,2026,3,March,1,Thursday
TXN0008395,CUST00339,CAT03,2025-11-10,64.11,GBP,Costa Coffee,Online Banking,64.11,2025,11,November,4,Monday
TXN0006537,CUST00194,CAT04,2025-06-15,41.81,GBP,PlayStation Store,Mobile App,41.81,2025,6,June,2,Sunday
TXN0010629,CUST00361,CAT09,2025-12-21,35.21,GBP,Bupa,Card Payment,35.21,2025,12,December,4,Sunday
TXN0003873,CUST00358,CAT08,2025-08-30,71.16,GBP,IKEA,Mobile App,71.16,2025,8,August,3,Saturday
TXN0000519,CUST00381,CAT09,2025-10-22,148.16,GBP,Local Pharmacy,Mobile App,148.16,2025,10,October,4,Wednesday
TXN0002022,CUST00311,CAT02,2025-04-24,153.24,GBP,British Gas,Mobile App,153.24,2025,4,April,2,Thursday
TXN0005166,CUST00231,CAT01,2025-04-20,118.24,GBP,Aldi,Card Payment,118.24,2025,4,April,2,Sunday
TXN0005701,CUST00009,CAT08,2025-08-14,124.98,GBP,Amazon,Online Banking,124.98,2025,8,August,3,Thursday
TXN0001384,CUST00096,CAT04,2025-07-16,19.2,GBP,Netflix,ATM,19.2,2025,7,July,3,Wednesday
TXN0008377,CUST00213,CAT01,2025-04-29,24.64,GBP,Waitrose,Online Banking,24.64,2025,4,April,2,Tuesday
TXN0002302,CUST00182,CAT10,2026-03-04,288.16,GBP,Fee,Mobile App,288.16,2026,3,March,1,Wednesday
TXN0005009,CUST00494,CAT07,2025-05-15,13.18,GBP,Apple,Card Payment,13.18,2025,5,May,2,Thursday
TXN0007771,CUST00395,CAT06,2026-06-15,51.38,GBP,National Rail,Mobile App,51.38,2026,6,June,2,Monday
TXN0001218,CUST00022,CAT01,2025-06-21,83.26,GBP,Waitrose,Card Payment,83.26,2025,6,June,2,Saturday
TXN0008084,CUST00348,CAT07,2025-06-10,9.75,GBP,The Times,Mobile App,9.75,2025,6,June,2,Tuesday
TXN0007448,CUST00489,CAT09,2025-09-04,42.12,GBP,Local Pharmacy,Card Payment,42.12,2025,9,September,3,Thursday
TXN0000971,CUST00412,CAT08,2026-03-11,268.83,GBP,ASOS,Mobile App,268.83,2026,3,March,1,Wednesday
TXN0008150,CUST00118,CAT09,2025-01-18,41.58,GBP,Bupa,Mobile App,41.58,2025,1,January,1,Saturday
TXN0003838,CUST00074,CAT08,2025-10-15,56.27,GBP,Argos,Branch,56.27,2025,10,October,4,Wednesday
TXN0008405,CUST00129,CAT01,2026-01-03,57.27,GBP,Aldi,Online Banking,57.27,2026,1,January,1,Saturday
TXN0003446,CUST00071,CAT06,2025-06-16,65.65,GBP,BP,Mobile App,65.65,2025,6,June,2,Monday
TXN0004771,CUST00053,CAT01,2026-06-01,5.8,GBP,Sainsbury's,Card Payment,5.8,2026,6,June,2,Monday
TXN0002629,CUST00362,CAT07,2025-04-28,27.22,GBP,Gym Membership,Branch,27.22,2025,4,April,2,Monday
TXN0005768,CUST00273,CAT03,2025-11-25,10.05,GBP,Costa Coffee,Online Banking,10.05,2025,11,November,4,Tuesday
TXN0007446,CUST00102,CAT03,2025-10-12,58.1,GBP,Pret A Manger,Online Banking,58.1,2025,10,October,4,Sunday
TXN0010963,CUST00424,CAT07,2025-07-12,26.84,GBP,Gym Membership,Card Payment,26.84,2025,7,July,3,Saturday
TXN0000614,CUST00449,CAT09,2026-01-22,16.86,GBP,Specsavers,Mobile App,16.86,2026,1,January,1,Thursday
TXN0003814,CUST00303,CAT03,2026-05-20,51.05,GBP,Deliveroo,Mobile App,51.05,2026,5,May,2,Wednesday
TXN0005863,CUST00229,CAT06,2025-08-04,2.73,GBP,Shell,ATM,2.73,2025,8,August,3,Monday
TXN0010837,CUST00467,CAT08,2026-01-11,234.23,GBP,ASOS,Card Payment,234.23,2026,1,January,1,Sunday
TXN0010150,CUST00252,CAT08,2026-04-01,162.64,GBP,ASOS,Mobile App,162.64,2026,4,April,2,Wednesday
TXN0000430,CUST00384,CAT02,2025-08-08,55.75,GBP,Thames Water,Mobile App,55.75,2025,8,August,3,Friday
TXN0009129,CUST00235,CAT06,2026-05-03,71.56,GBP,Uber,Card Payment,71.56,2026,5,May,2,Sunday
TXN0003080,CUST00474,CAT01,2025-05-30,113.64,GBP,Aldi,Online Banking,113.64,2025,5,May,2,Friday
TXN0008138,CUST00052,CAT05,2025-11-15,772.14,GBP,Booking.com,Card Payment,772.14,2025,11,November,4,Saturday
TXN0006110,CUST00201,CAT07,2025-05-31,47.47,GBP,Gym Membership,Branch,47.47,2025,5,May,2,Saturday
TXN0001787,CUST00027,CAT07,2026-03-14,33.65,GBP,The Times,ATM,33.65,2026,3,March,1,Saturday
TXN0000397,CUST00210,CAT09,2025-09-01,129.47,GBP,Specsavers,Mobile App,129.47,2025,9,September,3,Monday
TXN0004645,CUST00482,CAT01,2025-11-17,86.08,GBP,Waitrose,Mobile App,86.08,2025,11,November,4,Monday
TXN0007202,CUST00023,CAT07,2025-02-03,11.1,GBP,Apple,Mobile App,11.1,2025,2,February,1,Monday
TXN0006241,CUST00290,CAT07,2025-11-10,46.39,GBP,Gym Membership,Card Payment,46.39,2025,11,November,4,Monday
TXN0007898,CUST00085,CAT08,2025-08-22,201.28,GBP,John Lewis,Mobile App,201.28,2025,8,August,3,Friday
TXN0008742,CUST00472,CAT02,2025-02-01,122.13,GBP,Virgin Media,Mobile App,122.13,2025,2,February,1,Saturday
TXN0011027,CUST00202,CAT09,2025-12-15,26.66,GBP,Specsavers,Online Banking,26.66,2025,12,December,4,Monday
TXN0004380,CUST00323,CAT08,2025-06-04,207.22,GBP,Argos,Mobile App,207.22,2025,6,June,2,Wednesday
TXN0001840,CUST00295,CAT08,2025-01-16,97.6,GBP,John Lewis,Card Payment,97.6,2025,1,January,1,Thursday
TXN0009241,CUST00481,CAT06,2025-11-21,34.8,USD,TfL,Branch,39.79,2025,11,November,4,Friday
TXN0009254,CUST00267,CAT06,2025-01-31,31.81,GBP,National Rail,Card Payment,31.81,2025,1,January,1,Friday
TXN0009913,CUST00332,CAT01,2026-01-28,16.15,GBP,ASDA,Mobile App,16.15,2026,1,January,1,Wednesday
TXN0003843,CUST00439,CAT04,2025-07-22,31.16,GBP,Netflix,Mobile App,31.16,2025,7,July,3,Tuesday
TXN0009141,CUST00061,CAT02,2025-10-14,119.08,GBP,EE,Online Banking,119.08,2025,10,October,4,Tuesday
TXN0005653,CUST00165,CAT05,2026-01-12,188.53,GBP,Booking.com,Mobile App,188.53,2026,1,January,1,Monday
TXN0011077,CUST00244,CAT04,2026-04-02,27.45,GBP,Spotify,Mobile App,27.45,2026,4,April,2,Thursday
TXN0005528,CUST00204,CAT10,2025-09-11,45.32,GBP,Bank Transfer,Card Payment,45.32,2025,9,September,3,Thursday
TXN0011976,CUST00487,CAT01,2025-10-07,103.97,GBP,Aldi,Card Payment,103.97,2025,10,October,4,Tuesday
TXN0002772,CUST00073,CAT10,2025-05-31,140.98,GBP,Misc,Online Banking,140.98,2025,5,May,2,Saturday
TXN0004388,CUST00436,CAT07,2026-05-06,7.19,GBP,The Times,Online Banking,7.19,2026,5,May,2,Wednesday
TXN0002902,CUST00071,CAT10,2025-05-14,383.95,GBP,Misc,Card Payment,383.95,2025,5,May,2,Wednesday
TXN0002465,CUST00423,CAT06,2026-03-11,62.82,GBP,National Rail,ATM,62.82,2026,3,March,1,Wednesday
TXN0007700,CUST00141,CAT05,2025-03-21,243.49,GBP,Airbnb,Mobile App,243.49,2025,3,March,1,Friday
TXN0007554,CUST00316,CAT02,2025-03-13,132.27,GBP,EDF Energy,Branch,132.27,2025,3,March,1,Thursday
TXN0010187,CUST00105,CAT06,2025-06-28,85.21,GBP,National Rail,Card Payment,85.21,2025,6,June,2,Saturday
TXN0009028,CUST00482,CAT03,2025-02-14,13.59,GBP,Just Eat,Mobile App,13.59,2025,2,February,1,Friday
TXN0001154,CUST00310,CAT02,2026-04-14,179.63,GBP,British Gas,Card Payment,179.63,2026,4,April,2,Tuesday
TXN0009025,CUST00218,CAT08,2026-02-24,211.88,GBP,Argos,ATM,211.88,2026,2,February,1,Tuesday
TXN0003205,CUST00066,CAT01,2025-06-02,82.85,GBP,Sainsbury's,Card Payment,82.85,2025,6,June,2,Monday
TXN0005008,CUST00462,CAT02,2026-02-15,216.46,GBP,Virgin Media,Card Payment,216.46,2026,2,February,1,Sunday
TXN0000219,CUST00484,CAT01,2025-08-25,79.71,GBP,Tesco,Mobile App,79.71,2025,8,August,3,Monday
TXN0007106,CUST00344,CAT01,2026-05-22,12.7,GBP,Aldi,ATM,12.7,2026,5,May,2,Friday
TXN0011113,CUST00306,CAT09,2025-07-04,9.41,GBP,Superdrug,Mobile App,9.41,2025,7,July,3,Friday
TXN0009449,CUST00143,CAT08,2026-04-01,136.05,GBP,ASOS,Mobile App,136.05,2026,4,April,2,Wednesday
TXN0011139,CUST00160,CAT09,2025-06-29,104.79,GBP,Bupa,Mobile App,104.79,2025,6,June,2,Sunday
TXN0004336,CUST00428,CAT07,2025-02-20,7.46,GBP,LinkedIn Premium,Card Payment,7.46,2025,2,February,1,Thursday
TXN0005400,CUST00206,CAT03,2026-03-31,70.03,GBP,Nando's,ATM,70.03,2026,3,March,1,Tuesday
TXN0010937,CUST00390,CAT03,2025-01-29,72.83,GBP,Deliveroo,Online Banking,72.83,2025,1,January,1,Wednesday
TXN0008996,CUST00002,CAT09,2025-09-18,79.66,GBP,Local Pharmacy,Card Payment,79.66,2025,9,September,3,Thursday
TXN0007616,CUST00003,CAT07,2026-03-15,25.18,GBP,Amazon Prime,Mobile App,25.18,2026,3,March,1,Sunday
TXN0001714,CUST00439,CAT04,2026-03-18,30.29,GBP,Cineworld,Mobile App,30.29,2026,3,March,1,Wednesday
TXN0008244,CUST00086,CAT07,2025-04-25,23.53,GBP,Gym Membership,Card Payment,23.53,2025,4,April,2,Friday
TXN0009279,CUST00309,CAT04,2025-05-25,6.3,GBP,Cineworld,Mobile App,6.3,2025,5,May,2,Sunday
TXN0011110,CUST00049,CAT10,2025-01-12,329.61,GBP,Fee,Online Banking,329.61,2025,1,January,1,Sunday
TXN0008876,CUST00253,CAT10,2025-08-05,60.69,GBP,Fee,Card Payment,60.69,2025,8,August,3,Tuesday
TXN0011298,CUST00265,CAT02,2025-08-30,59.0,GBP,EDF Energy,Card Payment,59.0,2025,8,August,3,Saturday
TXN0006621,CUST00128,CAT01,2025-12-02,18.02,GBP,Sainsbury's,Online Banking,18.02,2025,12,December,4,Tuesday
TXN0002565,CUST00076,CAT02,2025-10-17,118.63,GBP,EE,Mobile App,118.63,2025,10,October,4,Friday
TXN0010508,CUST00019,CAT01,2025-07-03,63.98,GBP,ASDA,Branch,63.98,2025,7,July,3,Thursday
TXN0003795,CUST00400,CAT06,2025-05-18,5.18,GBP,National Rail,Mobile App,5.18,2025,5,May,2,Sunday
TXN0010965,CUST00151,CAT04,2026-05-10,54.03,GBP,Cineworld,Card Payment,54.03,2026,5,May,2,Sunday
TXN0006190,CUST00129,CAT01,2026-03-07,21.75,GBP,Waitrose,Mobile App,21.75,2026,3,March,1,Saturday
TXN0003753,CUST00301,CAT01,2025-05-31,41.1,GBP,Sainsbury's,Card Payment,41.1,2025,5,May,2,Saturday
TXN0006703,CUST00081,CAT01,2026-05-04,48.58,GBP,Aldi,Online Banking,48.58,2026,5,May,2,Monday
TXN0004101,CUST00263,CAT04,2025-03-07,39.73,GBP,Spotify,Card Payment,39.73,2025,3,March,1,Friday
TXN0000136,CUST00373,CAT06,2025-07-19,33.67,GBP,BP,Mobile App,33.67,2025,7,July,3,Saturday
TXN0011912,CUST00404,CAT08,2025-12-24,245.29,GBP,ASOS,Card Payment,245.29,2025,12,December,4,Wednesday
TXN0008652,CUST00067,CAT04,2025-11-06,27.7,GBP,Disney+,Card Payment,27.7,2025,11,November,4,Thursday
TXN0002928,CUST00415,CAT01,2025-12-20,118.26,GBP,Sainsbury's,ATM,118.26,2025,12,December,4,Saturday
TXN0000009,CUST00270,CAT02,2026-06-10,162.25,GBP,British Gas,Online Banking,162.25,2026,6,June,2,Wednesday
TXN0003232,CUST00369,CAT05,2026-01-10,497.97,GBP,Booking.com,Card Payment,497.97,2026,1,January,1,Saturday
TXN0008840,CUST00151,CAT02,2025-02-20,40.81,GBP,EDF Energy,Mobile App,40.81,2025,2,February,1,Thursday
TXN0002389,CUST00040,CAT10,2025-02-21,354.27,GBP,Cash Withdrawal,Card Payment,354.27,2025,2,February,1,Friday
TXN0006673,CUST00391,CAT02,2025-08-03,84.2,GBP,EE,Online Banking,84.2,2025,8,August,3,Sunday
TXN0007403,CUST00164,CAT10,2026-03-23,288.34,GBP,Cash Withdrawal,Mobile App,288.34,2026,3,March,1,Monday
TXN0006560,CUST00455,CAT02,2025-10-30,240.14,GBP,Thames Water,ATM,240.14,2025,10,October,4,Thursday
TXN0007294,CUST00035,CAT09,2026-02-12,76.45,GBP,Bupa,Online Banking,76.45,2026,2,February,1,Thursday
TXN0010114,CUST00194,CAT07,2025-01-19,27.15,GBP,The Times,Mobile App,27.15,2025,1,January,1,Sunday
TXN0002352,CUST00385,CAT03,2026-04-19,73.5,GBP,Costa Coffee,Mobile App,73.5,2026,4,April,2,Sunday
TXN0011134,CUST00099,CAT05,2025-03-03,552.74,GBP,easyJet,Online Banking,552.74,2025,3,March,1,Monday
TXN0000458,CUST00116,CAT06,2025-11-10,47.93,GBP,Shell,Mobile App,47.93,2025,11,November,4,Monday
TXN0007587,CUST00353,CAT01,2026-03-01,53.01,GBP,Waitrose,ATM,53.01,2026,3,March,1,Sunday
TXN0011249,CUST00423,CAT10,2025-08-16,183.74,GBP,Cash Withdrawal,Online Banking,183.74,2025,8,August,3,Saturday
TXN0001040,CUST00431,CAT09,2026-02-16,50.72,GBP,Superdrug,Mobile App,50.72,2026,2,February,1,Monday
TXN0003373,CUST00328,CAT09,2025-06-07,43.37,GBP,Superdrug,Online Banking,43.37,2025,6,June,2,Saturday
TXN0004605,CUST00186,CAT04,2025-07-21,46.32,GBP,Cineworld,Mobile App,46.32,2025,7,July,3,Monday
TXN0011853,CUST00385,CAT05,2026-05-24,708.18,GBP,Airbnb,Online Banking,708.18,2026,5,May,2,Sunday
TXN0004157,CUST00265,CAT05,2026-06-06,446.03,GBP,Airbnb,Mobile App,446.03,2026,6,June,2,Saturday
TXN0001044,CUST00259,CAT05,2026-03-01,511.94,GBP,Booking.com,Branch,511.94,2026,3,March,1,Sunday
TXN0010514,CUST00423,CAT08,2025-10-13,182.57,GBP,IKEA,Mobile App,182.57,2025,10,October,4,Monday
TXN0000100,CUST00039,CAT07,2025-06-13,9.86,GBP,Gym Membership,Online Banking,9.86,2025,6,June,2,Friday
TXN0005818,CUST00496,CAT01,2026-02-27,71.79,GBP,ASDA,Mobile App,71.79,2026,2,February,1,Friday
TXN0011621,CUST00409,CAT04,2026-04-11,35.35,GBP,Cineworld,Branch,35.35,2026,4,April,2,Saturday
TXN0001935,CUST00227,CAT06,2025-12-03,68.29,GBP,National Rail,Mobile App,68.29,2025,12,December,4,Wednesday
TXN0002020,CUST00290,CAT07,2025-10-18,34.87,GBP,The Times,Card Payment,34.87,2025,10,October,4,Saturday
